Country,deforestation__ha
Brazil,1775000
Australia,662000
Mexico,440600
United Republic of Tanzania,372000
Zimbabwe,309000
Argentina,301000
Bolivia,289000
Mozambique,219000
Sudan,174415
Peru,165000
Venezuela,164600
Colombia,147950
Mali,146000
Lao People's Democratic Republic,75150
China,62100
Canada,48000
Ecuador,47500
Philippines,46950
Guatemala,38000
Portugal,37000
Finland,22000
Saint Pierre and Miquelon,20000
Algeria,18000
Sweden,14000
Iran  (Islamic Republic of),13680
Brunei Darussalam,9000
Norway,8000
Republic of Korea,7000
Austria,6000
Germany,6000
Spain,5700
Switzerland,4270
Viet Nam,3942
Suriname,3900
Italy,3690
Mauritania,3500
New Zealand,3000
Bangladesh,2600
French Guiana,2500
Ireland,1600
Estonia,1580
Belgium,1470
Denmark,1000
Guadeloupe,903
Slovenia,720
Poland,582
Netherlands,500
R̩union,500
Indonesia,450
Jamaica,437
Hungary,400
Latvia,321
Liberia,166
United States Virgin Islands,110
Lithuania,37
Mauritius,3.4
Iceland,3
Russian Federation,0
Equatorial Guinea,0
Svalbard and Jan Mayen,0
San Marino,0
Gibraltar,0
Serbia,0
Sao Tome and Principe,0
Guernsey,0
Georgia,0
U.K. of Great Britain and Northern Ireland,0
Tokelau,0
Tuvalu,0
Faroe Islands,0
Uruguay,0
Vatican City,0
Falkland Islands (Malvinas),0
Cook Islands,0
Bahrain,0
Monaco,0
Maldives,0
Liechtenstein,0
Malta,0
Jersey,0
New Caledonia,0
Nauru,0
Isle of Man,0
Greenland,0
French Polynesia,0
Qatar,0
