iso,longitude,latitude,adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
BRA,-87.568069,33.208496,1,2001,67309.77199,43658063.11
BRA,-37.713501,-6.54219,2,2001,7475.453874,1835644.116
BRA,-45.274418,-4.96095,3,2001,13926.98469,8597544.278
BRA,-63.293072,-10.83077,4,2001,81439.17301,50363812.74
BRA,-78.791252,-3.3617,5,2001,145822.4644,35983404.42
BRA,-44.555031,-18.512178,7,2001,251.6442695,62311.98662
BRA,-43.021549,-21.17524,8,2001,22842.48782,8879384.072
BRA,-37.713501,-6.54219,9,2001,73928.81873,18488933.54
BRA,-70.30146,-9.12893,10,2001,84245.8805,29266032.24
BRA,-87.568069,33.208496,1,2002,68439.01864,49554064.99
BRA,-37.713501,-6.54219,2,2002,4618.538816,1509533.055
BRA,-45.274418,-4.96095,3,2002,13905.37718,8555984.513
BRA,-63.293072,-10.83077,4,2002,99140.45758,63376343.81
BRA,-78.791252,-3.3617,5,2002,120268.488,32943213.52
BRA,-44.555031,-18.512178,7,2002,70.94968162,19326.86211
BRA,-43.021549,-21.17524,8,2002,24873.89252,11753993.82
BRA,-37.713501,-6.54219,9,2002,88135.05418,23209559.44
BRA,-70.30146,-9.12893,10,2002,170127.6929,62441928.28
BRA,-87.568069,33.208496,1,2003,37665.7936,26493853.37
BRA,-37.713501,-6.54219,2,2003,7106.333809,1907667.867
BRA,-45.274418,-4.96095,3,2003,9796.097241,6312132.358
BRA,-63.293072,-10.83077,4,2003,102013.1572,69902938.49
BRA,-78.791252,-3.3617,5,2003,163576.9694,39663209.72
BRA,-44.555031,-18.512178,7,2003,247.795414,58733.15387
BRA,-43.021549,-21.17524,8,2003,21073.56734,9320216.731
BRA,-37.713501,-6.54219,9,2003,84577.55699,23373166.74
BRA,-70.30146,-9.12893,10,2003,96298.78655,36180421.52
BRA,-87.568069,33.208496,1,2004,67190.46413,48915005.24
BRA,-37.713501,-6.54219,2,2004,1526.121665,370097.5658
BRA,-45.274418,-4.96095,3,2004,16619.12944,9789643.587
BRA,-63.293072,-10.83077,4,2004,94389.26418,64416835.63
BRA,-78.791252,-3.3617,5,2004,152279.3017,45868861.48
BRA,-44.555031,-18.512178,7,2004,62.82516949,17851.9913
BRA,-43.021549,-21.17524,8,2004,13599.83258,7292486.415
BRA,-37.713501,-6.54219,9,2004,85881.11369,24330374.76
BRA,-70.30146,-9.12893,10,2004,197213.585,66170787.53
BRA,-87.568069,33.208496,1,2005,169859.9489,120195412.5
BRA,-37.713501,-6.54219,2,2005,5783.800413,1860965.067
BRA,-45.274418,-4.96095,3,2005,14145.03542,8336623.511
BRA,-63.293072,-10.83077,4,2005,174667.0621,119107804.5
BRA,-78.791252,-3.3617,5,2005,145692.7817,42647464.89
BRA,-44.555031,-18.512178,7,2005,226.0553217,61938.59782
BRA,-43.021549,-21.17524,8,2005,16216.14825,8660512.557
BRA,-37.713501,-6.54219,9,2005,69966.40639,20875619.39
BRA,-70.30146,-9.12893,10,2005,168330.5686,67202219.59
BRA,-87.568069,33.208496,1,2006,40138.27018,29807280.76
BRA,-37.713501,-6.54219,2,2006,7887.440155,2557998.874
BRA,-45.274418,-4.96095,3,2006,13021.61726,7568738.117
BRA,-63.293072,-10.83077,4,2006,154847.8263,106837085.2
BRA,-78.791252,-3.3617,5,2006,177051.8549,53230755.85
BRA,-44.555031,-18.512178,7,2006,59.14775875,17219.14638
BRA,-43.021549,-21.17524,8,2006,13347.4354,7048880.183
BRA,-37.713501,-6.54219,9,2006,56121.17745,17187099.45
BRA,-70.30146,-9.12893,10,2006,184183.0856,75956624.36
BRA,-87.568069,33.208496,1,2007,34674.05542,26364016.2
BRA,-37.713501,-6.54219,2,2007,3963.209659,1264259.431
BRA,-45.274418,-4.96095,3,2007,11020.33745,7196620.931
BRA,-63.293072,-10.83077,4,2007,89356.34492,61094762.19
BRA,-78.791252,-3.3617,5,2007,183798.7481,55027163.64
BRA,-44.555031,-18.512178,7,2007,232.7372121,69912.10889
BRA,-43.021549,-21.17524,8,2007,12178.44735,7369708.617
BRA,-37.713501,-6.54219,9,2007,67503.96982,21582152.65
BRA,-70.30146,-9.12893,10,2007,208456.9729,83616528.86
BRA,-87.568069,33.208496,1,2008,55148.77633,40872925.13
BRA,-37.713501,-6.54219,2,2008,5753.004441,1733751.883
BRA,-45.274418,-4.96095,3,2008,13825.97796,9242338.024
BRA,-63.293072,-10.83077,4,2008,94494.93973,65544314.01
BRA,-78.791252,-3.3617,5,2008,171667.3856,57707551.34
BRA,-44.555031,-18.512178,7,2008,39.97352502,12487.78763
BRA,-43.021549,-21.17524,8,2008,9417.958885,5384692.019
BRA,-37.713501,-6.54219,9,2008,39725.08975,13200394.78
BRA,-70.30146,-9.12893,10,2008,210304.7538,80792077.04
BRA,-87.568069,33.208496,1,2009,35453.10797,26838391.27
BRA,-37.713501,-6.54219,2,2009,3632.939179,1295281.392
BRA,-45.274418,-4.96095,3,2009,22272.50298,15817348.58
BRA,-63.293072,-10.83077,4,2009,128265.9615,81490868.21
BRA,-78.791252,-3.3617,5,2009,166359.9526,52628273.51
BRA,-44.555031,-18.512178,7,2009,143.1347736,45875.80799
BRA,-43.021549,-21.17524,8,2009,15416.98272,9909328.109
BRA,-37.713501,-6.54219,9,2009,48662.56977,16610002.07
BRA,-70.30146,-9.12893,10,2009,118923.5954,46899909.64
BRA,-87.568069,33.208496,1,2010,42518.59084,31542336.94
BRA,-37.713501,-6.54219,2,2010,6551.617657,2211374.857
BRA,-45.274418,-4.96095,3,2010,10648.86383,8238019.886
BRA,-63.293072,-10.83077,4,2010,150467.6869,97569493.75
BRA,-78.791252,-3.3617,5,2010,195412.3647,67696156.59
BRA,-44.555031,-18.512178,7,2010,129.8964169,45300.23602
BRA,-43.021549,-21.17524,8,2010,14060.69963,10505608.16
BRA,-37.713501,-6.54219,9,2010,40086.38012,14211396.39
BRA,-70.30146,-9.12893,10,2010,255849.4215,109959108.2
BRA,-87.568069,33.208496,1,2011,40098.2101,30022922.97
BRA,-37.713501,-6.54219,2,2011,2715.518175,879235.4081
BRA,-45.274418,-4.96095,3,2011,13879.87905,11538367.35
BRA,-63.293072,-10.83077,4,2011,85825.84446,57805699.93
BRA,-78.791252,-3.3617,5,2011,147831.0549,61687625.88
BRA,-44.555031,-18.512178,7,2011,134.3072465,47675.28255
BRA,-43.021549,-21.17524,8,2011,15621.50977,13190241.51
BRA,-37.713501,-6.54219,9,2011,41499.34504,16532281.65
BRA,-70.30146,-9.12893,10,2011,139132.3072,57904746.67
BRA,-87.568069,33.208496,1,2012,62675.63578,48311461.06
BRA,-37.713501,-6.54219,2,2012,5841.909315,2305288.018
BRA,-45.274418,-4.96095,3,2012,20234.43752,14347270.89
BRA,-63.293072,-10.83077,4,2012,163604.2673,112374651.1
BRA,-78.791252,-3.3617,5,2012,274998.83,109274023.7
BRA,-44.555031,-18.512178,7,2012,103.0121184,82261.9587
BRA,-43.021549,-21.17524,8,2012,22705.35979,17269709.03
BRA,-37.713501,-6.54219,9,2012,57117.70434,22365598.9
BRA,-70.30146,-9.12893,10,2012,258349.9309,105882058.5
BRA,-87.568069,33.208496,1,2013,49483.35192,37860401.95
BRA,-37.713501,-6.54219,2,2013,1896.491198,754789.8732
BRA,-45.274418,-4.96095,3,2013,14463.10549,9593313.818
BRA,-63.293072,-10.83077,4,2013,126022.0434,86284930.06
BRA,-78.791252,-3.3617,5,2013,153800.5024,74353749.5
BRA,-44.555031,-18.512178,7,2013,19.94031178,59902.58239
BRA,-43.021549,-21.17524,8,2013,11060.20639,11913187.68
BRA,-37.713501,-6.54219,9,2013,36045.50042,17077953.54
BRA,-70.30146,-9.12893,10,2013,278220.9229,117708697.7
BRA,-87.568069,33.208496,1,2014,63441.88948,48527182.16
BRA,-37.713501,-6.54219,2,2014,1976.599638,740132.4185
BRA,-45.274418,-4.96095,3,2014,16042.80596,10777854.25
BRA,-63.293072,-10.83077,4,2014,146342.9861,101287737.1
BRA,-78.791252,-3.3617,5,2014,186843.6991,95794860.72
BRA,-44.555031,-18.512178,7,2014,126.9396931,177422.8433
BRA,-43.021549,-21.17524,8,2014,29282.83208,25496218.34
BRA,-37.713501,-6.54219,9,2014,51007.81372,24991996.81
BRA,-70.30146,-9.12893,10,2014,351383.8333,151432145
BRA,-87.568069,33.208496,1,2015,49732.54926,37651198.87
BRA,-37.713501,-6.54219,2,2015,399.0951437,148679.6288
BRA,-45.274418,-4.96095,3,2015,14201.15423,9335705.895
BRA,-63.293072,-10.83077,4,2015,156875.8643,111020752.8
BRA,-78.791252,-3.3617,5,2015,167989.914,89064358.76
BRA,-44.555031,-18.512178,7,2015,172.496874,146591.2477
BRA,-43.021549,-21.17524,8,2015,17543.6697,20744883.09
BRA,-37.713501,-6.54219,9,2015,44806.38795,24080093.33
BRA,-70.30146,-9.12893,10,2015,281048.7092,126046893.3
BRA,-87.568069,33.208496,1,2016,86612.94311,64685509.81
BRA,-37.713501,-6.54219,2,2016,893.6255793,353373.9376
BRA,-45.274418,-4.96095,3,2016,38424.90357,25965792.95
BRA,-63.293072,-10.83077,4,2016,547520.4818,355645073.2
BRA,-78.791252,-3.3617,5,2016,292820.9015,138965179
BRA,-44.555031,-18.512178,7,2016,287.1301506,201028.2465
BRA,-43.021549,-21.17524,8,2016,26885.96531,24372788.19
BRA,-37.713501,-6.54219,9,2016,49045.29959,27852341.25
BRA,-70.30146,-9.12893,10,2016,799627.6594,380778192.9
BRA,-87.568069,33.208496,1,2017,86123.52431,65128188.3
BRA,-37.713501,-6.54219,2,2017,2986.186734,1287847.713
BRA,-45.274418,-4.96095,3,2017,38141.21678,25487205.62
BRA,-63.293072,-10.83077,4,2017,263806.6163,182629236.3
BRA,-78.791252,-3.3617,5,2017,163955.6507,96328892.73
BRA,-44.555031,-18.512178,7,2017,414.349379,248888.0919
BRA,-43.021549,-21.17524,8,2017,37151.70997,28391770.25
BRA,-37.713501,-6.54219,9,2017,95251.19264,47416590.64
BRA,-70.30146,-9.12893,10,2017,450528.7197,209324087.2
BRA,-87.568069,33.208496,1,2018,84489.42251,65539677.29
BRA,-37.713501,-6.54219,2,2018,1487.368438,662705.4654
BRA,-45.274418,-4.96095,3,2018,13126.12941,8947130.784
BRA,-63.293072,-10.83077,4,2018,193802.1388,142814170.7
BRA,-78.791252,-3.3617,5,2018,126119.6047,63872613.59
BRA,-44.555031,-18.512178,7,2018,224.7780865,164620.1783
BRA,-43.021549,-21.17524,8,2018,28954.43885,21812800.23
BRA,-37.713501,-6.54219,9,2018,33201.4262,19531956.51
BRA,-70.30146,-9.12893,10,2018,405396.8142,191601450.8
BRA,-87.568069,33.208496,1,2019,84744.71073,66740775.05
BRA,-37.713501,-6.54219,2,2019,850.6560107,382494.0169
BRA,-45.274418,-4.96095,3,2019,9698.110496,6531851.725
BRA,-63.293072,-10.83077,4,2019,215503.7009,160286564.8
BRA,-78.791252,-3.3617,5,2019,104207.1003,48072466.88
BRA,-44.555031,-18.512178,7,2019,132.4226462,105967.7404
BRA,-43.021549,-21.17524,8,2019,11386.20151,10210923.8
BRA,-37.713501,-6.54219,9,2019,40260.77777,22838297.17
BRA,-70.30146,-9.12893,10,2019,259756.1543,126241057.2
BRA,-87.568069,33.208496,1,2020,90039.09026,70907748.07
BRA,-37.713501,-6.54219,2,2020,1457.757534,712358.6996
BRA,-45.274418,-4.96095,3,2020,8409.940561,6180495.746
BRA,-63.293072,-10.83077,4,2020,242978.0788,180220499
BRA,-78.791252,-3.3617,5,2020,110142.9447,46097223.79
BRA,-44.555031,-18.512178,7,2020,59.4533053,88598.48753
BRA,-43.021549,-21.17524,8,2020,9218.748184,7953473.888
BRA,-37.713501,-6.54219,9,2020,37991.8828,20654257.82
BRA,-70.30146,-9.12893,10,2020,306836.8495,149304817.3
BRA,-87.568069,33.208496,1,2021,117865.6897,93311191.74
BRA,-37.713501,-6.54219,2,2021,838.3444767,425009.945
BRA,-45.274418,-4.96095,3,2021,5964.398174,5419302.24
BRA,-63.293072,-10.83077,4,2021,313520.6806,238631234.6
BRA,-78.791252,-3.3617,5,2021,120012.907,46127438.49
BRA,-44.555031,-18.512178,7,2021,36.83816699,82516.71876
BRA,-43.021549,-21.17524,8,2021,7071.636397,6603269.248
BRA,-37.713501,-6.54219,9,2021,40521.33347,21556845.47
BRA,-70.30146,-9.12893,10,2021,298599.792,146953597.6
